pattern,unique_membership_queries,membership_queries,equivalence_queries
(b(((b|ε)(a*))*)),149,149,3
((((a|(b*))|ε)(a|b))|ε),76,76,2
(b((b|(a|b))|ε)),33,33,1
((b|ε)((a*)a)),33,33,1
((b|ε)(b|b)),33,33,1
((b|ε)(((a*)b)*)),170,170,3
((b|ε)(a(b|ε))),33,33,1
((((a|b)|ε)b)|ε),33,33,1
(b((b|(b|b))b)),33,33,1
(((b*)((b|b)(ba)))*),35,35,1
(b(((a|(b|b))|ε)a)),33,33,1
((((b*)|(b*))((b|a)|ε))|ε),77,77,2
((a|ε)((b|b)(a|ε))),33,33,1
(b(a(b|(b|a)))),33,33,1
(b((b|a)b)),33,33,1
((a|ε)(a(b*))),33,33,1
(((b*)((b|a)((b|ε)b)))*),201,201,3
(((a*)b)*),35,35,1
(((a*)b)|ε),87,87,2
((a|ε)((b|b)(b|ε))),33,33,1
(((a|ε)((b*)(a*)))*),80,80,2
(((b|(b|(b|b)))b)|ε),33,33,1
((((b*)|(a*))a)|ε),163,163,3
((b|ε)(a(a|a))),33,33,1
((b(a|(b*)))|ε),84,84,2
(b(((a|ε)b)*)),87,87,2
(((b|(a|a))(ba))|ε),33,33,1
((a*)(b|b)),87,87,2
(((b|ε)((b|ε)b))*),35,35,1
((((b*)|((b|a)*))a)|ε),35,35,1
(((b|(b|a))(b|ε))|ε),33,33,1
(((b|(b|(b|b)))(b*))|ε),73,73,2
((((b*)|(b*))((b|b)|ε))|ε),73,73,2
(((b*)a)*),35,35,1
(b(((b|ε)(b*))*)),73,73,2
(b((a|a)b)),33,33,1
(((b(b|ε))*)a),76,76,2
(((b|(b|(b|b)))(a|ε))|ε),33,33,1
(b(b(b|(a|a)))),33,33,1
((((a|(b|(b*)))*)(b*))|ε),33,33,1
(b(a((b|a)|ε))),33,33,1
(b((b|ε)(b*))),33,33,1
((((b|(a|a))|ε)b)|ε),33,33,1
(b((a|b)*)),80,80,2
(((b*)(b(a(a|ε))))*),114,114,2
(((b*)((b|b)(b(a|ε))))*),35,35,1
(((b|(a|(b|a)))(b*))|ε),77,77,2
((b|(b|a))((a*)a)),33,33,1
(((((a*)((b|b)*))|(a*))a)|ε),95,95,2
((a|(b(a|ε)))|ε),76,76,2
(((a|b)|ε)a),33,33,1
(((a|ε)((a|ε)(a|ε)))*),35,35,1
((a|(b*))|ε),76,76,2
(b((a|(a|a))|ε)),33,33,1
(((b*)(b(b(b*))))*),35,35,1
(((a*)|(a*))*),35,35,1
((a|ε)(b((a|b)(a|ε)))),33,33,1
((a|((a|a)*))|ε),35,35,1
(((((b*)|(b*))|ε)(a|ε))|ε),76,76,2
((b(b|(a|b)))|ε),33,33,1
((((a|a)|ε)a)|ε),33,33,1
(((b*)((b|a)((b|ε)a)))*),122,122,2
((((b|(a|b))|ε)a)|ε),33,33,1
(((b*)(b(a|b)))*),77,77,2
((((b|(a|a))|ε)a)|ε),33,33,1
(b((b|ε)((b|ε)a))),33,33,1
(((b|b)(b|a))|ε),33,33,1
(((b(b|ε))*)(a|ε)),76,76,2
(((b|b)(a|(a|a)))|ε),33,33,1
(((a*)(b*))|ε),76,76,2
(((b|(b|(b|a)))(b|ε))|ε),33,33,1
((((a|b)*)b)|ε),35,35,1
(((b|(b|b))|ε)a),33,33,1
(b((a(aa))*)),87,87,2
(((b(b|ε))*)b),87,87,2
((b|ε)(((a*)(a*))*)),80,80,2
((a|ε)(((b*)|(a*))(bb))),33,33,1
((a|((a*)(a|ε)))|ε),76,76,2
(b(((a*)((b*)(b*)))*)),80,80,2
((a|(a*))|ε),35,35,1
(((((a*)b)|(b*))b)|ε),73,73,2
(b(a(a|(b|a)))),33,33,1
(b(((a*)((a*)(b*)))*)),80,80,2
(((b|ε)a)|ε),33,33,1
((((a|(b|(a|(b|a))))*)b)|ε),35,35,1
((b|(a|(b|(b|a))))|ε),77,77,2
((b((aa)|ε))|ε),33,33,1
(b(b((a*)|(b*)))),33,33,1
((a|ε)((b*)(a|ε))),33,33,1
(((((b*)|((ba)*))|ε)((a|ε)b))*),231,231,3
((a|ε)(b((a|b)b))),33,33,1
((((a|a)|ε)b)|ε),33,33,1
(b((b|a)(a|a))),33,33,1
(((b*)|((a|(a|(a|a)))*))|ε),163,163,3
(b((b*)(a(b*)))),146,146,3
(((b*)((b|a)(b(b|ε))))*),201,201,3
((b|(b|(b|(a|b))))|ε),77,77,2
(b(b(b*))),33,33,1
((b|ε)((b|((a*)a))*)),80,80,2
((b|ε)(b|(b|(a|b)))),33,33,1
((a|ε)(((a|b)|ε)((b*)a))),33,33,1
(b(((a*)((b*)(a*)))*)),80,80,2
((((b|ε)(a|a))|(b*))*),77,77,2
(((b|(b|(b|b)))(a*))|ε),80,80,2
(b(((a|a)|ε)((b*)b))),33,33,1
((((b|a)|ε)(a|ε))|ε),33,33,1
((b|ε)(((b(a*))|ε)a)),33,33,1
((a|ε)(ab)),33,33,1
((b|(b|(b|(a|a))))|ε),77,77,2
((((b|a)|ε)(b|ε))|ε),33,33,1
(((b|a)((b|a)|ε))|ε),33,33,1
((((b*)|(b*))(b*))|ε),35,35,1
(((b*)(b(b(b|ε))))*),35,35,1
(b((a(ab))*)),87,87,2
(((((b*)|((ba)*))|ε)((b*)(b|ε)))*),96,96,2
((b|ε)(b(((a*)(b*))*))),162,162,3
(((b|ε)((b|ε)(b*)))*),35,35,1
(((b*)((b|a)(a(a|ε))))*),184,184,3
(((b*)(bb))*),35,35,1
(((b*)(b(((a|b)|ε)a)))*),120,120,2
((a|ε)((b|b)a)),33,33,1
((b|ε)(b(((b*)b)*))),33,33,1
(((a|ε)((b*)(a(b(a|ε)))))*),35,35,1
((b|(b*))|ε),35,35,1
(b((b|a)a)),33,33,1
(((((a*)((b|b)*))|(a*))(a*))|ε),95,95,2
((b((a(a*))|ε))|ε),33,33,1
((a|ε)(((b*)|(a*))(b(a*)))),263,263,4
(((a|ε)((a|ε)a))*),35,35,1
(((b|(b|(b|a)))(a|ε))|ε),33,33,1
((b|(b|(b|b)))|ε),87,87,2
(((((b|b)a)*)b)|ε),87,87,2
((((a|(a*)|(b*))|ε)b)|ε),167,167,3
(((((a|b)b)|ε)(bb))*),35,35,1
((((a|(aa))|ε)(b*))|ε),76,76,2
((a|ε)((a|ε)((a|ε)(ab)))),33,33,1
((b|ε)(b|a)),33,33,1
((((a|(b*))|ε)(a*))|ε),76,76,2
((((a|b)*)a)|ε),35,35,1
(b((b|(b|a))(a|ε))),33,33,1
(b(a((b|b)|ε))),33,33,1
(((b*)((b|a)((a|ε)b)))*),133,133,2
((((a|(a|a))*)(b|ε))|ε),87,87,2
((b(b|(a|a)))|ε),33,33,1
(((a|ε)((a*)(((a*)|(a*))|ε)))*),35,35,1
(((((b*)|((ba)*))|ε)((a|ε)a))*),364,364,4
(((b|ε)((b|ε)(a*)))*),114,114,2
((b|ε)(((b(a*))|ε)(b*))),179,179,3
(((b|(a|a))(b*))|ε),77,77,2
((a|ε)((a|ε)(aa))),33,33,1
(((a|a)*)a),76,76,2
((a|(ab))|ε),95,95,2
(((a*)|(((b*)b)*))((b|b)a)),33,33,1
(b(((b|ε)(a|ε))*)),87,87,2
((a((a|ε)b))*),171,171,3
(((b|a)a)|ε),33,33,1
(b((b|ε)(a|ε))),33,33,1
(((b*)(b(a|a)))*),89,89,2
((a|ε)((b|(b|b))(b*))),33,33,1
(b(a(b|(b|(b|b))))),33,33,1
(((b|(b|(b|b)))(b|a))|ε),33,33,1
(((b|b)(a|b))|ε),33,33,1
((((a|b)*)(b*))|ε),33,33,1
(((((a*)|(b*))|ε)((a|ε)(a*)))*),35,35,1
(((b*)((b|b)(b(((a|ε)(b*))|ε))))*),115,115,2
((b|(b|(b|a)))|ε),77,77,2
((b|ε)((b|b)*)),73,73,2
(((((a*)b)|(a*))b)|ε),77,77,2
(((b|ε)((b|ε)a))*),35,35,1
(((a|ε)((b*)(b*)))*),80,80,2
(((b*)((b|a)((a|ε)a)))*),184,184,3
(b|(a*)|(a*)),76,76,2
((((a|(aa))|ε)a)|ε),33,33,1
((((a|(aa))|ε)b)|ε),33,33,1
(((((a|b)b)|ε)(b(a|b)))*),215,215,3
(((((b*)|(b*))|ε)a)|ε),76,76,2
((b(a|a))|ε),33,33,1
((b*)((b|b)(ba))),33,33,1
((a|ε)b),33,33,1
((a|ε)((b*)(b|ε))),33,33,1
(((b|b)(b|(a|a)))|ε),33,33,1
(((b|a)(((b|ε)a)*))|ε),77,77,2
(((b|ε)(b*))|ε),73,73,2
((b|ε)(b|(a|a))),33,33,1
(((b|(b|a))((a|a)*))|ε),76,76,2
(b((a|(b*))*)),80,80,2
(((b|(b|(b|(a|(a|(b|b))))))(b|ε))|ε),33,33,1
(((b*)((b|a)((b|ε)(b|ε))))*),201,201,3
((a|(ba))|ε),76,76,2
(b((a|ε)a)),33,33,1
((b|(b|(a|b)))|ε),77,77,2
((b((b|a)*))|ε),80,80,2
((b|ε)(b((bb)|ε))),33,33,1
((b|ε)(b(((a*)(b|ε))*))),197,197,3
(b(b(b|b))),33,33,1
((a|ε)(((a|b)|ε)((b*)(a|ε)))),33,33,1
(((b*)((b|a)(a((a(b|ε))|ε))))*),35,35,1
(((((a|b)b)|ε)(b(a|a)))*),35,35,1
(((b*)(b(a(b|ε))))*),35,35,1
(((b|(b|(b|a)))a)|ε),33,33,1
((a|ε)(a(b|b))),33,33,1
(((b*)|(b*)|(((b|ε)b)*))|ε),35,35,1
((((a|(a|a))*)b)|ε),87,87,2
((((a|(aa))|ε)(a*))|ε),76,76,2
(b(a(a|(aa)))),33,33,1
(b((a|ε)(a*))),33,33,1
((a|ε)((a|a)b)),33,33,1
((b|ε)(((a*)(a|b))*)),80,80,2
(((b|(a|(b*)))b)|ε),173,173,3
((a|ε)((a|ε)(ab))),33,33,1
((b((b|b)*))|ε),73,73,2
(((b*)(b(ba)))*),35,35,1
((((b*)|(a*))(((b|ε)b)*))|ε),151,151,3
((((a|a)b)|(aa))*),76,76,2
(((b*)(b(a|(b|a))))*),77,77,2
(((b*)(b|ε))|ε),73,73,2
((((a|(b*))|ε)(b*))|ε),76,76,2
((((a|(a*)|(b*))|ε)(a|ε))|ε),163,163,3
(b(a(((b|ε)b)|ε))),33,33,1
((b|ε)(b((ba)|ε))),33,33,1
((b|ε)((b|(a*))*)),80,80,2
(((b*)((b|b)(bb)))*),35,35,1
(b|(a*)),76,76,2
(((b|(b|(b|b)))|ε)b),33,33,1
(((b|(b|(b|b)))(b|b))|ε),33,33,1
(((b|(a|b))(a|ε))|ε),33,33,1
((a|ε)((b|(b|a))a)),33,33,1
((b((a|(b|a))*))|ε),80,80,2
(b((a|a)((b|ε)((b|ε)a)))),33,33,1
(((b*)((b|b)((b*)(b|ε))))*),35,35,1
(((b*)|((((a|ε)(b|ε))|((b|ε)a))*))|ε),96,96,2
((b|ε)(((a*)(a|a))*)),80,80,2
(b(((a*)((a*)b))*)),170,170,3
(((b*)((b|b)((b*)(a|ε))))*),89,89,2
((((a|a)|ε)(b|ε))|ε),33,33,1
(b(((b|a)|ε)(ab))),33,33,1
((((a|(a|a))*)(b*))|ε),76,76,2
((((b|ε)(a*))*)(a|ε)),161,161,3
(((b|(b|a))((a|(b*))*))|ε),35,35,1
(((b|(b|(b|(a|(a|(b|b))))))b)|ε),33,33,1
(((b|b)(a|a))|ε),33,33,1
(((b*)|(b*)|(((a|ε)a)*))|ε),96,96,2
(((((a*)((b|b)*))|(b*))(a|ε))|ε),95,95,2
(((a|ε)(b*))|ε),76,76,2
(b((a|a)(a((b|ε)a)))),33,33,1
((b|(b|(a|a)))|ε),77,77,2
((b|ε)(((a*)(b|ε))*)),170,170,3
((b|(((b|b)a)*))|ε),35,35,1
((a|(b|b))*),33,33,1
(((((a*)((b|b)*))|(a*))b)|ε),73,73,2
((b|(b*)|((b|a)*))|ε),33,33,1
((((b|ε)(b*))*)a),76,76,2
((((a|(b|(b*)))*)(a*))|ε),33,33,1
(((b|(b|a))((a|b)*))|ε),35,35,1
(b(((b|b)|ε)(a|ε))),33,33,1
(((b|ε)((b|a)|ε))|ε),33,33,1
((b|ε)(((b*)|(a*))*)),80,80,2
(b((a*)(aa))),33,33,1
((a|ε)((b|b)(b*))),33,33,1
(b(((a|(b|a))|ε)(a*))),33,33,1
(((b*)(b((a|ε)(a|ε))))*),114,114,2
(((b*)(a(a|ε)))*),163,163,3
(((b*)|(b*)|(((a*)a)*))|ε),163,163,3
((((b*)|(a*))(a*))|ε),76,76,2
((a|ε)(b((a|b)(b|a)))),33,33,1
((a|ε)(b((a|b)((b|a)*)))),178,178,3
(((a|ε)(b|ε))|ε),33,33,1
((((b*)|(b*))((b|(b|(b*)))|ε))|ε),35,35,1
((b((a|(b|b))*))|ε),80,80,2
((b|ε)(b(((a|ε)a)|ε))),33,33,1
(((b*)((b|b)(b(a*))))*),98,98,2
(b((bb)|ε)),33,33,1
((b((b|(b|a))*))|ε),80,80,2
((((b|ε)(b(a*)))*)(a*)),103,103,2
((((b*)|((b|(b*))*))a)|ε),76,76,2
(b((b|(a*)|(a*))*)),80,80,2
((b|ε)(b|(a|b))),33,33,1
((a|(b|a))*),33,33,1
(((((b*)|(b*))|ε)(b|ε))|ε),73,73,2
((((b(b(a*)))*)|(a*))|ε),103,103,2
(((b|ε)((aa)*))|ε),87,87,2
((b*)((a*)a)),76,76,2
(((a|ε)((b*)(a(b(b|ε)))))*),35,35,1
((a*)(b|(b|b))),87,87,2
(((b*)(ba))*),89,89,2
(((b|ε)(a*))|ε),80,80,2
(b((a|a)a)),33,33,1
((b|ε)(b|(b|a))),33,33,1
(b(((b|b)|ε)a)),33,33,1
(((b*)((b*)(a|ε)))*),35,35,1
((((b|ε)(ba))*)a),76,76,2
((a|ε)(((a|b)|ε)((b*)b))),33,33,1
((((a|b)*)(a*))|ε),33,33,1
((a|ε)(b((a|b)(a|b)))),33,33,1
(b((a|(a*))*)),80,80,2
(b(a(b|(b|(a|a))))),33,33,1
(((((b*)|(a*)|(b*))|ε)b)|ε),167,167,3
(((b*)((b|a)(a((ab)|ε))))*),35,35,1
((b*)((b|b)((a|ε)a))),176,176,3
(((((a*)((b|b)*))|(a*))(b|ε))|ε),73,73,2
((b|ε)(b(((a*)(a*))*))),33,33,1
(((b*)(a|ε))|ε),76,76,2
(((b*)|((((a|ε)(b|ε))|((b|ε)(b*)))*))|ε),83,83,2
(b(((a*)((a*)(b|b)))*)),170,170,3
((a|ε)(b((a|(b|b))(b|ε)))),33,33,1
(b((b|(b|a))|ε)),33,33,1
(b((b*)(aa))),176,176,3
(((b|ε)(a|ε))|ε),33,33,1
(((((b*)|(a*)|(b*))|ε)a)|ε),163,163,3
((((b|b)|ε)(b*))|ε),73,73,2
((((b*)|(b*))(((b|ε)((b|ε)a))|ε))|ε),33,33,1
((b|ε)(b(((b*)((a|b)|ε))*))),162,162,3
((a|ε)(b((a|(b|b))b))),33,33,1
(((b|(b|(a|(a|b))))a)|ε),33,33,1
(((b|a)((b|(a|a))|ε))|ε),33,33,1
(((((a*)((b|b)*))|(b*))(b|ε))|ε),73,73,2
((a|ε)(b(b|ε))),33,33,1
(b(a(a|(b|b)))),33,33,1
(((ba)|((a|(b|(a|b)))*))|ε),33,33,1
(b((a(a|ε))*)),87,87,2
((b|ε)((a|ε)(a*))),33,33,1
(((b*)(b((a|a)|ε)))*),89,89,2
(((((a*)b)|(b*))(b|ε))|ε),73,73,2
(((b*)|(((a*)(a*))*)|(b*))|ε),163,163,3
((((a|(a*))|ε)((aa)|ε))|ε),33,33,1
(((a|ε)(b(a*)))*),103,103,2
(((b|ε)((a*)(a((b|ε)b))))*),142,142,2
(((a|(b|a))b)|ε),33,33,1
(((b*)(b*))*),35,35,1
(b(a(b|(b|(a|(a|a)))))),33,33,1
(b((a(b|ε))*)),87,87,2
(((a|ε)(((a*)|(a*))*))|ε),76,76,2
((b|(a*)|(b*))|ε),163,163,3
(((a|ε)((a*)(b*)))*),80,80,2
((a|(b|(b|(a|(b|a)))))|ε),77,77,2
(((ba)|((b|ε)b))|ε),33,33,1
(((b*)|((a|(a|(a(a|a))))*))|ε),163,163,3
(a|(a|(b|a))),77,77,2
(b(a(a|ε))),33,33,1
(b(a(b|(b|(a|(a|b)))))),33,33,1
(b((a|a)(b((a|ε)a)))),33,33,1
(b(a(b|(b|b)))),33,33,1
(((((a*)b)|(a*))(a|ε))|ε),95,95,2
((b|ε)(((b*)(a*))*)),80,80,2
(b(((b|ε)b)*)),87,87,2
(((ba)|((b|ε)a))|ε),33,33,1
(((b*)|((a|a)*))|ε),163,163,3
(((b*)(b((a|ε)b)))*),35,35,1
((b|((b|(b*))*))|ε),35,35,1
((b|ε)(((a*)(a|ε))*)),80,80,2
((b|(b|a))((b*)a)),33,33,1
((((a|(a*))|ε)(a*))|ε),35,35,1
(((a*)|(((b*)b)*))((b|b)b)),33,33,1
((a|ε)(b|ε)),33,33,1
(((a|ε)((a*)(((a*)|(b*))|ε)))*),80,80,2
(((((a*)|(b*))|ε)((b|a)(a|ε)))*),211,211,3
(((b|a)*)(ab)),83,83,2
((a|ε)((a|a)a)),33,33,1
((a|ε)(((a|b)|ε)((b*)(a*)))),186,186,3
(((a|ε)((b*)((b|b)*)))*),80,80,2
(b((b(a|ε))*)),87,87,2
(((a|ε)(a|ε))|ε),33,33,1
((b(((b*)a)|ε))|ε),33,33,1
((((b*)|(a*))|ε)b),167,167,3
(((((b*)|((ba)*))|ε)((b*)b))*),96,96,2
(((a*)(a*))|ε),35,35,1
(((b|(b|b))|ε)(a|ε)),33,33,1
(((a|b)|ε)(a|ε)),33,33,1
((b|(b|(a|(a|b))))|ε),77,77,2
(b((b|(b*))*)),73,73,2
((a|ε)a),33,33,1
(b((b|a)(a|ε))),33,33,1
(((((a|b)b)|ε)(ba))*),35,35,1
((((b|a)|ε)(((a|ε)(a*))*))|ε),76,76,2
(((b|b)(b|(bb)))|ε),33,33,1
((b((a(a|(a*)))|ε))|ε),33,33,1
(((b*)|((a|(b(b(a|ε))))*))|ε),310,310,4
((((a*)(b(b|ε)))|(a*))|ε),157,157,3
(((ba)*)(b*)),35,35,1
(b((a((a|ε)(a|ε)))*)),87,87,2
(((b*)(b(a|ε)))*),89,89,2
((a((b|ε)b))*),35,35,1
((b(b|(b|a)))|ε),33,33,1
(((bb)|(a*))|ε),103,103,2
(b((a|(a|(b|a)))|ε)),33,33,1
((((b*)|(b*))((bb)|ε))|ε),33,33,1
((a|((b*)a))|ε),76,76,2
((((b*)|((b|a)*))b)|ε),35,35,1
((a|ε)((b|b)(a*))),33,33,1
(b(b(((a*)|(b*)|(a*))*))),162,162,3
((b|(a|(a|b)))|ε),77,77,2
(((a|a)|ε)b),33,33,1
((a|ε)(b((a|b)a))),33,33,1
((b|ε)((a*)(a|b))),33,33,1
((((b|(a|(b|a)))|ε)a)|ε),33,33,1
(((a|(a|a))*)(b|ε)),87,87,2
((b|(((a*)|(a*))*))|ε),76,76,2
((((b*)|(a*))(b*))|ε),76,76,2
((a|ε)(b((a|b)((a|a)*)))),211,211,3
((b*)((b|b)((a|ε)(a*)))),147,147,3
(((b*)|(a*)|(a*))*),33,33,1
(b(b((a(a|ε))|ε))),33,33,1
(((b*)|((a|(a|(a*)))*))|ε),163,163,3
(((b|(b|(b|b)))|ε)a),33,33,1
(b(((a|(b|b))|ε)(b|b))),33,33,1
(((b*)|((b|(a|a))*))|ε),33,33,1
((b|ε)(((a*)(b*))*)),80,80,2
((a|ε)(((bb)|ε)((b|ε)(a*)))),33,33,1
(((b|(b|a))((a|(a*))*))|ε),76,76,2
((b|ε)(b(((b*)((a|a)|ε))*))),199,199,3
(((((b*)|(((b*)|(a*))*))|ε)(b|ε))|ε),35,35,1
((b*)((b|b)((b|ε)a))),33,33,1
(((b*)((b|ε)(b|ε)))*),35,35,1
(((a(b|ε))|(((b*)|(a*))*))|ε),33,33,1
(b((a((a|ε)(b|ε)))*)),87,87,2
((((a|a)b)|(ba))*),163,163,3
(((a|ε)((b*)a))*),76,76,2
(((b*)((b|b)((b|ε)(b|a))))*),98,98,2
((((a|(a*))|ε)(((b|ε)b)|ε))|ε),33,33,1
(b(b((((b|ε)(b|ε))|(a*))*))),154,154,3
(((a|(b|(a|b)))*)a),35,35,1
((((b|b)|ε)(b|ε))|ε),33,33,1
(((a|(b|(a|b)))*)b),35,35,1
(b(b(b|ε))),33,33,1
((((a|(a|a))*)a)|ε),76,76,2
((b|ε)(((b|b)*)a)),33,33,1
((b|ε)(a(b|a))),33,33,1
((((b|a)|ε)(((a*)a)*))|ε),76,76,2
(((a|a)|ε)a),33,33,1
(b((b(b|ε))*)),87,87,2
(b((a|(a|(a|b)))(ba))),33,33,1
(((b|b)(b|(a*)))|ε),84,84,2
((((b|ε)((a|ε)a))*)b),87,87,2
(((b*)|((((a|ε)(b|ε))|(ab))*))|ε),102,102,2
((b|ε)(a((b|b)|ε))),33,33,1
((b|(a|(b|a)))|ε),77,77,2
(b((b|(a|(b(b|ε))))a)),33,33,1
(((b|a)((ab)*))|ε),96,96,2
(b|((ba)*)|(b*)),35,35,1
(((b|a)((b|(a|b))|ε))|ε),33,33,1
(b(a(((b|ε)a)|ε))),33,33,1
(((b*)|(b*)|(((a|ε)(a*))*))|ε),163,163,3
(((b*)(b(a|(b|b))))*),77,77,2
(((b*)|(b*)|(b*))*),35,35,1
