pattern,unique_membership_queries,membership_queries,equivalence_queries,precision,recall,f1
(((b*)a)*),35,35,1,1.0,1.0,1.0
(((b*)b)*),35,35,1,1.0,1.0,1.0
((a|(a*))|ε),35,35,1,1.0,1.0,1.0
((a|(b*))|ε),76,76,2,0,0.0,0
((b|(a*))|ε),76,76,2,0.3333333333333333,1.0,0.5
((b|(b*))|ε),35,35,1,1.0,1.0,1.0
(((a|ε)(a|ε))|ε),33,33,1,0,0,0
(((a|ε)(b|ε))|ε),33,33,1,0,0,0
(((a|ε)(a*))|ε),76,76,2,1.0,1.0,1.0
(((a|ε)(b*))|ε),76,76,2,0,0,0
(((b|ε)(a|ε))|ε),33,33,1,0,0,0
(((b|ε)(b|ε))|ε),33,33,1,0,0,0
(((b|ε)(a*))|ε),80,80,2,1.0,1.0,1.0
(((b|ε)(b*))|ε),73,73,2,1.0,1.0,1.0
(((a*)(a|ε))|ε),76,76,2,1.0,1.0,1.0
(((a*)(b|ε))|ε),87,87,2,0,0,0
(((a*)(a*))|ε),35,35,1,1.0,1.0,1.0
(((a*)(b*))|ε),76,76,2,1.0,1.0,1.0
(((b*)(a|ε))|ε),76,76,2,0,0,0
(((b*)(b|ε))|ε),73,73,2,1.0,1.0,1.0
(((b*)(a*))|ε),76,76,2,1.0,1.0,1.0
(((b*)(b*))|ε),35,35,1,1.0,1.0,1.0
(a|(a|(a|a))),76,76,2,0,0,0
(a|(a|(a|b))),77,77,2,0,0,0
(a|(a|(b|a))),77,77,2,0,0,0
(a|(a|(b|b))),77,77,2,0,0,0
(a|(b|(a|a))),77,77,2,0,0,0
(a|(b|(a|b))),77,77,2,0,0,0
(a|(b|(b|a))),77,77,2,0,0,0
(a|(b|(b|b))),77,77,2,0,0,0
(b|(a|(a|a))),77,77,2,0,0,0
(b|(a|(a|b))),77,77,2,0,0,0
(b|(a|(b|a))),77,77,2,0,0,0
(b|(a|(b|b))),77,77,2,0,0,0
(b|(b|(a|a))),77,77,2,0,0,0
(b|(b|(a|b))),77,77,2,0,0,0
(b|(b|(b|a))),77,77,2,0,0,0
(b|(b|(b|b))),87,87,2,0,0,0
((a|a)a),33,33,1,0,0,0
((a|a)b),33,33,1,0,0,0
((a|b)a),33,33,1,0,0,0
((a|b)b),33,33,1,0,0,0
((b|a)a),33,33,1,0,0,0
((b|a)b),33,33,1,0,0,0
((b|b)a),33,33,1,0,0,0
((b|b)b),33,33,1,0,0,0
(a(a|a)),33,33,1,0,0,0
(a(a|b)),33,33,1,0,0,0
(a(b|a)),33,33,1,0,0,0
(a(b|b)),33,33,1,0,0,0
(b(a|a)),33,33,1,0,0,0
(b(a|b)),33,33,1,0,0,0
(b(b|a)),33,33,1,0,0,0
(b(b|b)),33,33,1,0,0,0
(a(aa)),33,33,1,0,0.0,0
(a(ab)),33,33,1,0,0,0
(a(ba)),33,33,1,0,0,0
(a(bb)),33,33,1,0,0,0
(b(aa)),33,33,1,0,0,0
(b(ab)),33,33,1,0,0,0
(b(ba)),33,33,1,0,0,0
(b(bb)),33,33,1,0,0,0
((a|(a*))*),35,35,1,1.0,1.0,1.0
((a|(b*))*),33,33,1,1.0,1.0,1.0
((b|(a*))*),33,33,1,1.0,1.0,1.0
((b|(b*))*),35,35,1,1.0,1.0,1.0
(((a|ε)(a|ε))*),76,76,2,0,0,0
(((a|ε)(b|ε))*),83,83,2,1.0,1.0,1.0
(((a|ε)(a*))*),35,35,1,1.0,1.0,1.0
(((a|ε)(b*))*),80,80,2,1.0,1.0,1.0
(((b|ε)(a|ε))*),35,35,1,0,0,0
(((b|ε)(b|ε))*),35,35,1,0,0.0,0
(((b|ε)(a*))*),77,77,2,1.0,1.0,1.0
(((b|ε)(b*))*),35,35,1,1.0,1.0,1.0
(((a*)(a|ε))*),35,35,1,1.0,1.0,1.0
(((a*)(b|ε))*),35,35,1,1.0,1.0,1.0
(((a*)(a*))*),35,35,1,1.0,1.0,1.0
(((a*)(b*))*),33,33,1,1.0,1.0,1.0
(((b*)(a|ε))*),35,35,1,1.0,1.0,1.0
(((b*)(b|ε))*),35,35,1,1.0,1.0,1.0
(((b*)(a*))*),33,33,1,1.0,1.0,1.0
(((b*)(b*))*),35,35,1,1.0,1.0,1.0
((a|(a|(a|a)))|ε),76,76,2,0,0,0
((a|(a|(a|b)))|ε),77,77,2,0,0,0
((a|(a|(b|a)))|ε),77,77,2,0,0,0
((a|(a|(b|b)))|ε),77,77,2,0,0,0
((a|(b|(a|a)))|ε),77,77,2,0,0,0
((a|(b|(a|b)))|ε),77,77,2,0,0,0
((a|(b|(b|a)))|ε),77,77,2,0,0,0
((a|(b|(b|b)))|ε),77,77,2,0,0,0
((b|(a|(a|a)))|ε),77,77,2,0,0,0
((b|(a|(a|b)))|ε),77,77,2,0,0,0
((b|(a|(b|a)))|ε),77,77,2,0,0,0
((b|(a|(b|b)))|ε),77,77,2,0,0,0
((b|(b|(a|a)))|ε),77,77,2,0,0,0
((b|(b|(a|b)))|ε),77,77,2,0,0,0
((b|(b|(b|a)))|ε),77,77,2,0,0,0
((b|(b|(b|b)))|ε),87,87,2,0,0,0
(((a|a)a)|ε),33,33,1,0,0,0
(((a|a)b)|ε),33,33,1,0,0,0
(((a|b)a)|ε),33,33,1,0,0,0
(((a|b)b)|ε),33,33,1,0,0,0
(((b|a)a)|ε),33,33,1,0,0,0
(((b|a)b)|ε),33,33,1,0,0,0
(((b|b)a)|ε),33,33,1,0,0,0
(((b|b)b)|ε),33,33,1,0,0,0
((a(a|a))|ε),33,33,1,0,0,0
((a(a|b))|ε),33,33,1,0,0,0
((a(b|a))|ε),33,33,1,0,0,0
((a(b|b))|ε),33,33,1,0,0,0
((b(a|a))|ε),33,33,1,0,0,0
((b(a|b))|ε),33,33,1,0,0,0
((b(b|a))|ε),33,33,1,0,0,0
((b(b|b))|ε),33,33,1,0,0,0
((a(aa))|ε),33,33,1,0,0.0,0
((a(ab))|ε),33,33,1,0,0,0
((a(ba))|ε),33,33,1,0,0,0
((a(bb))|ε),33,33,1,0,0,0
((b(aa))|ε),33,33,1,0,0,0
((b(ab))|ε),33,33,1,0,0,0
((b(ba))|ε),33,33,1,0,0,0
((b(bb))|ε),33,33,1,0,0,0
(a|(a|(a*))),35,35,1,1.0,1.0,1.0
(a|(a|(b*))),76,76,2,0,0.0,0
(a|(b|(a*))),76,76,2,0.3333333333333333,1.0,0.5
(a|(b|(b*))),76,76,2,0,0.0,0
(a|(aa)),80,80,2,0,0,0
(a|(ab)),95,95,2,0,0,0
(a|(ba)),76,76,2,0,0,0
(a|(bb)),76,76,2,0,0,0
(b|(a|(a*))),76,76,2,0.3333333333333333,1.0,0.5
(b|(a|(b*))),76,76,2,0,0.0,0
(b|(b|(a*))),76,76,2,0.3333333333333333,1.0,0.5
(b|(b|(b*))),35,35,1,1.0,1.0,1.0
(b|(aa)),110,110,2,0,0,0
(b|(ab)),110,110,2,0,0,0
(b|(ba)),80,80,2,0.0,0,0
(b|(bb)),77,77,2,0,0,0
(((a|a)*)|(a*)),35,35,1,1.0,1.0,1.0
(((a|a)*)|(b*)),163,163,3,1.0,1.0,1.0
(((a|b)*)|(a*)),33,33,1,1.0,1.0,1.0
(((a|b)*)|(b*)),33,33,1,1.0,1.0,1.0
(((b|a)*)|(a*)),33,33,1,1.0,1.0,1.0
(((b|a)*)|(b*)),33,33,1,1.0,1.0,1.0
(((b|b)*)|(a*)),163,163,3,1.0,1.0,1.0
(((b|b)*)|(b*)),35,35,1,1.0,1.0,1.0
((a*)|((a|a)*)),35,35,1,1.0,1.0,1.0
((a*)|((a|b)*)),33,33,1,1.0,1.0,1.0
((a*)|((b|a)*)),33,33,1,1.0,1.0,1.0
((a*)|((b|b)*)),163,163,3,1.0,1.0,1.0
((a*)|(a*)|(a*)),35,35,1,1.0,1.0,1.0
((a*)|(a*)|(b*)),163,163,3,1.0,1.0,1.0
((a*)|(b*)|(a*)),163,163,3,1.0,1.0,1.0
((a*)|(b*)|(b*)),163,163,3,1.0,1.0,1.0
((b*)|((a|a)*)),163,163,3,1.0,1.0,1.0
((b*)|((a|b)*)),33,33,1,1.0,1.0,1.0
((b*)|((b|a)*)),33,33,1,1.0,1.0,1.0
((b*)|((b|b)*)),35,35,1,1.0,1.0,1.0
((b*)|(a*)|(a*)),163,163,3,1.0,1.0,1.0
((b*)|(a*)|(b*)),163,163,3,1.0,1.0,1.0
((b*)|(b*)|(a*)),163,163,3,1.0,1.0,1.0
((b*)|(b*)|(b*)),35,35,1,1.0,1.0,1.0
(((a|a)|ε)a),33,33,1,0,0,0
(((a|a)|ε)b),33,33,1,0,0,0
(((a|b)|ε)a),33,33,1,0,0,0
(((a|b)|ε)b),33,33,1,0,0,0
(((b|a)|ε)a),33,33,1,0,0,0
(((b|a)|ε)b),33,33,1,0,0,0
(((b|b)|ε)a),33,33,1,0,0,0
(((b|b)|ε)b),33,33,1,0,0,0
((a|ε)(a|a)),33,33,1,0,0,0
((a|ε)(a|b)),33,33,1,0,0,0
((a|ε)(b|a)),33,33,1,0,0,0
((a|ε)(b|b)),33,33,1,0,0,0
((b|ε)(a|a)),33,33,1,0,0,0
((b|ε)(a|b)),33,33,1,0,0,0
((b|ε)(b|a)),33,33,1,0,0,0
((b|ε)(b|b)),33,33,1,0,0,0
((a|a)(a|ε)),33,33,1,0,0,0
((a|a)(b|ε)),33,33,1,0,0,0
((a|a)(a*)),76,76,2,1.0,1.0,1.0
((a|a)(b*)),76,76,2,0,0,0
((a|b)(a|ε)),33,33,1,0,0,0
((a|b)(b|ε)),33,33,1,0,0,0
((a|b)(a*)),76,76,2,1.0,1.0,1.0
((a|b)(b*)),77,77,2,1.0,1.0,1.0
((b|a)(a|ε)),33,33,1,0,0,0
((b|a)(b|ε)),33,33,1,0,0,0
((b|a)(a*)),76,76,2,1.0,1.0,1.0
((b|a)(b*)),77,77,2,1.0,1.0,1.0
((b|b)(a|ε)),33,33,1,0,0,0
((b|b)(b|ε)),33,33,1,0,0,0
((b|b)(a*)),80,80,2,1.0,1.0,1.0
((b|b)(b*)),73,73,2,1.0,1.0,1.0
(a((a|a)|ε)),33,33,1,0,0,0
(a((a|b)|ε)),33,33,1,0,0,0
(a((b|a)|ε)),33,33,1,0,0,0
(a((b|b)|ε)),33,33,1,0,0,0
(a((a|a)*)),76,76,2,1.0,1.0,1.0
(a((a|b)*)),77,77,2,1.0,1.0,1.0
(a((b|a)*)),77,77,2,1.0,1.0,1.0
(a((b|b)*)),76,76,2,0,0,0
(b((a|a)|ε)),33,33,1,0,0,0
(b((a|b)|ε)),33,33,1,0,0,0
(b((b|a)|ε)),33,33,1,0,0,0
(b((b|b)|ε)),33,33,1,0,0,0
(b((a|a)*)),80,80,2,1.0,1.0,1.0
(b((a|b)*)),80,80,2,1.0,1.0,1.0
(b((b|a)*)),80,80,2,1.0,1.0,1.0
(b((b|b)*)),73,73,2,1.0,1.0,1.0
(((a|a)*)a),76,76,2,1.0,1.0,1.0
(((a|a)*)b),87,87,2,0,0,0
(((a|b)*)a),35,35,1,1.0,1.0,1.0
(((a|b)*)b),35,35,1,1.0,1.0,1.0
(((b|a)*)a),35,35,1,1.0,1.0,1.0
(((b|a)*)b),35,35,1,1.0,1.0,1.0
(((b|b)*)a),76,76,2,0,0,0
(((b|b)*)b),73,73,2,1.0,1.0,1.0
((a*)(a|a)),76,76,2,1.0,1.0,1.0
((a*)(a|b)),76,76,2,1.0,1.0,1.0
((a*)(b|a)),76,76,2,1.0,1.0,1.0
((a*)(b|b)),87,87,2,0,0,0
((b*)(a|a)),76,76,2,0,0,0
((b*)(a|b)),77,77,2,1.0,1.0,1.0
((b*)(b|a)),77,77,2,1.0,1.0,1.0
((b*)(b|b)),73,73,2,1.0,1.0,1.0
((a|ε)(aa)),33,33,1,0,0.0,0
((a|ε)(ab)),33,33,1,0,0,0
((a|ε)(ba)),33,33,1,0,0,0
((a|ε)(bb)),33,33,1,0,0,0
((b|ε)(aa)),33,33,1,0,0,0
((b|ε)(ab)),33,33,1,0,0,0
((b|ε)(ba)),33,33,1,0,0,0
((b|ε)(bb)),33,33,1,0,0,0
(a((a|ε)a)),33,33,1,0,0.0,0
(a((a|ε)b)),33,33,1,0,0,0
(a((b|ε)a)),33,33,1,0,0,0
(a((b|ε)b)),33,33,1,0,0,0
(a(a(a|ε))),33,33,1,0,0.0,0
(a(a(b|ε))),33,33,1,0,0,0
(a(a(a*))),33,33,1,0,0.0,0
(a(a(b*))),33,33,1,0,0,0
(a(b(a|ε))),33,33,1,0,0,0
(a(b(b|ε))),33,33,1,0,0,0
(a(b(a*))),33,33,1,0,0,0
(a(b(b*))),33,33,1,0,0.0,0
(a((a*)a)),33,33,1,0,0.0,0
(a((a*)b)),33,33,1,0,0,0
(a((b*)a)),33,33,1,0,0.0,0
(a((b*)b)),33,33,1,0,0.0,0
(b((a|ε)a)),33,33,1,0,0,0
(b((a|ε)b)),33,33,1,0,0,0
(b((b|ε)a)),33,33,1,0,0,0
(b((b|ε)b)),33,33,1,0,0,0
(b(a(a|ε))),33,33,1,0,0,0
(b(a(b|ε))),33,33,1,0,0,0
(b(a(a*))),33,33,1,0,0.0,0
(b(a(b*))),33,33,1,0,0,0
(b(b(a|ε))),33,33,1,0,0,0
(b(b(b|ε))),33,33,1,0,0,0
(b(b(a*))),33,33,1,0,0,0
(b(b(b*))),33,33,1,0,0.0,0
(b((a*)a)),33,33,1,0,0.0,0
(b((a*)b)),33,33,1,0,0.0,0
(b((b*)a)),33,33,1,0,0,0
(b((b*)b)),33,33,1,0,0.0,0
((a*)(aa)),33,33,1,0,0.0,0
((a*)(ab)),33,33,1,0,0,0
((a*)(ba)),33,33,1,0,0.0,0
((a*)(bb)),33,33,1,0,0,0
((b*)(aa)),147,147,3,1.0,1.0,1.0
((b*)(ab)),33,33,1,0,0,0
((b*)(ba)),33,33,1,0,0,0
((b*)(bb)),33,33,1,0,0.0,0
((a|(a|(a|a)))*),35,35,1,1.0,1.0,1.0
((a|(a|(a|b)))*),33,33,1,1.0,1.0,1.0
((a|(a|(b|a)))*),33,33,1,1.0,1.0,1.0
((a|(a|(b|b)))*),33,33,1,1.0,1.0,1.0
((a|(b|(a|a)))*),33,33,1,1.0,1.0,1.0
((a|(b|(a|b)))*),33,33,1,1.0,1.0,1.0
((a|(b|(b|a)))*),33,33,1,1.0,1.0,1.0
((a|(b|(b|b)))*),33,33,1,1.0,1.0,1.0
((b|(a|(a|a)))*),33,33,1,1.0,1.0,1.0
((b|(a|(a|b)))*),33,33,1,1.0,1.0,1.0
((b|(a|(b|a)))*),33,33,1,1.0,1.0,1.0
((b|(a|(b|b)))*),33,33,1,1.0,1.0,1.0
((b|(b|(a|a)))*),33,33,1,1.0,1.0,1.0
((b|(b|(a|b)))*),33,33,1,1.0,1.0,1.0
((b|(b|(b|a)))*),33,33,1,1.0,1.0,1.0
((b|(b|(b|b)))*),35,35,1,1.0,1.0,1.0
(((a|a)a)*),76,76,2,0,0,0
(((a|a)b)*),83,83,2,1.0,1.0,1.0
(((a|b)a)*),76,76,2,1.0,1.0,1.0
(((a|b)b)*),83,83,2,1.0,1.0,1.0
(((b|a)a)*),76,76,2,1.0,1.0,1.0
(((b|a)b)*),83,83,2,1.0,1.0,1.0
(((b|b)a)*),35,35,1,0,0,0
(((b|b)b)*),35,35,1,0,0.0,0
((a(a|a))*),76,76,2,0,0,0
((a(a|b))*),76,76,2,1.0,1.0,1.0
((a(b|a))*),76,76,2,1.0,1.0,1.0
((a(b|b))*),83,83,2,1.0,1.0,1.0
((b(a|a))*),35,35,1,0,0,0
((b(a|b))*),100,100,2,1.0,1.0,1.0
((b(b|a))*),100,100,2,1.0,1.0,1.0
((b(b|b))*),35,35,1,0,0.0,0
((a(aa))*),35,35,1,0,0.0,0
((a(ab))*),171,171,3,0,0,0
((a(ba))*),35,35,1,0,0,0
((a(bb))*),35,35,1,0,0.0,0
((b(aa))*),35,35,1,0,0,0
((b(ab))*),35,35,1,0,0,0
((b(ba))*),35,35,1,0,0,0
((b(bb))*),35,35,1,0,0.0,0
((a|(a|(a*)))|ε),35,35,1,1.0,1.0,1.0
((a|(a|(b*)))|ε),76,76,2,0,0.0,0
((a|(b|(a*)))|ε),76,76,2,0.3333333333333333,1.0,0.5
((a|(b|(b*)))|ε),76,76,2,0,0.0,0
((a|(aa))|ε),80,80,2,0,0,0
((a|(ab))|ε),95,95,2,0,0,0
((a|(ba))|ε),76,76,2,0,0,0
((a|(bb))|ε),76,76,2,0,0,0
((b|(a|(a*)))|ε),76,76,2,0.3333333333333333,1.0,0.5
((b|(a|(b*)))|ε),76,76,2,0,0.0,0
((b|(b|(a*)))|ε),76,76,2,0.3333333333333333,1.0,0.5
((b|(b|(b*)))|ε),35,35,1,1.0,1.0,1.0
((b|(aa))|ε),110,110,2,0,0,0
((b|(ab))|ε),110,110,2,0,0,0
((b|(ba))|ε),80,80,2,0.0,0,0
((b|(bb))|ε),77,77,2,0,0,0
((((a|a)*)|(a*))|ε),35,35,1,1.0,1.0,1.0
((((a|a)*)|(b*))|ε),163,163,3,1.0,1.0,1.0
((((a|b)*)|(a*))|ε),33,33,1,1.0,1.0,1.0
((((a|b)*)|(b*))|ε),33,33,1,1.0,1.0,1.0
((((b|a)*)|(a*))|ε),33,33,1,1.0,1.0,1.0
((((b|a)*)|(b*))|ε),33,33,1,1.0,1.0,1.0
((((b|b)*)|(a*))|ε),163,163,3,1.0,1.0,1.0
((((b|b)*)|(b*))|ε),35,35,1,1.0,1.0,1.0
(((a*)|((a|a)*))|ε),35,35,1,1.0,1.0,1.0
(((a*)|((a|b)*))|ε),33,33,1,1.0,1.0,1.0
(((a*)|((b|a)*))|ε),33,33,1,1.0,1.0,1.0
(((a*)|((b|b)*))|ε),163,163,3,1.0,1.0,1.0
(((a*)|(a*)|(a*))|ε),35,35,1,1.0,1.0,1.0
(((a*)|(a*)|(b*))|ε),163,163,3,1.0,1.0,1.0
(((a*)|(b*)|(a*))|ε),163,163,3,1.0,1.0,1.0
(((a*)|(b*)|(b*))|ε),163,163,3,1.0,1.0,1.0
(((b*)|((a|a)*))|ε),163,163,3,1.0,1.0,1.0
(((b*)|((a|b)*))|ε),33,33,1,1.0,1.0,1.0
(((b*)|((b|a)*))|ε),33,33,1,1.0,1.0,1.0
(((b*)|((b|b)*))|ε),35,35,1,1.0,1.0,1.0
(((b*)|(a*)|(a*))|ε),163,163,3,1.0,1.0,1.0
(((b*)|(a*)|(b*))|ε),163,163,3,1.0,1.0,1.0
(((b*)|(b*)|(a*))|ε),163,163,3,1.0,1.0,1.0
(((b*)|(b*)|(b*))|ε),35,35,1,1.0,1.0,1.0
((((a|a)|ε)a)|ε),33,33,1,0,0,0
((((a|a)|ε)b)|ε),33,33,1,0,0,0
((((a|b)|ε)a)|ε),33,33,1,0,0,0
((((a|b)|ε)b)|ε),33,33,1,0,0,0
((((b|a)|ε)a)|ε),33,33,1,0,0,0
((((b|a)|ε)b)|ε),33,33,1,0,0,0
((((b|b)|ε)a)|ε),33,33,1,0,0,0
((((b|b)|ε)b)|ε),33,33,1,0,0,0
(((a|ε)(a|a))|ε),33,33,1,0,0,0
(((a|ε)(a|b))|ε),33,33,1,0,0,0
(((a|ε)(b|a))|ε),33,33,1,0,0,0
(((a|ε)(b|b))|ε),33,33,1,0,0,0
(((b|ε)(a|a))|ε),33,33,1,0,0,0
(((b|ε)(a|b))|ε),33,33,1,0,0,0
(((b|ε)(b|a))|ε),33,33,1,0,0,0
(((b|ε)(b|b))|ε),33,33,1,0,0,0
(((a|a)(a|ε))|ε),33,33,1,0,0,0
(((a|a)(b|ε))|ε),33,33,1,0,0,0
(((a|a)(a*))|ε),76,76,2,1.0,1.0,1.0
(((a|a)(b*))|ε),76,76,2,0,0,0
(((a|b)(a|ε))|ε),33,33,1,0,0,0
(((a|b)(b|ε))|ε),33,33,1,0,0,0
(((a|b)(a*))|ε),76,76,2,1.0,1.0,1.0
(((a|b)(b*))|ε),77,77,2,1.0,1.0,1.0
(((b|a)(a|ε))|ε),33,33,1,0,0,0
(((b|a)(b|ε))|ε),33,33,1,0,0,0
(((b|a)(a*))|ε),76,76,2,1.0,1.0,1.0
(((b|a)(b*))|ε),77,77,2,1.0,1.0,1.0
(((b|b)(a|ε))|ε),33,33,1,0,0,0
(((b|b)(b|ε))|ε),33,33,1,0,0,0
(((b|b)(a*))|ε),80,80,2,1.0,1.0,1.0
(((b|b)(b*))|ε),73,73,2,1.0,1.0,1.0
((a((a|a)|ε))|ε),33,33,1,0,0,0
((a((a|b)|ε))|ε),33,33,1,0,0,0
((a((b|a)|ε))|ε),33,33,1,0,0,0
((a((b|b)|ε))|ε),33,33,1,0,0,0
((a((a|a)*))|ε),76,76,2,1.0,1.0,1.0
((a((a|b)*))|ε),77,77,2,1.0,1.0,1.0
((a((b|a)*))|ε),77,77,2,1.0,1.0,1.0
((a((b|b)*))|ε),76,76,2,0,0,0
((b((a|a)|ε))|ε),33,33,1,0,0,0
((b((a|b)|ε))|ε),33,33,1,0,0,0
((b((b|a)|ε))|ε),33,33,1,0,0,0
((b((b|b)|ε))|ε),33,33,1,0,0,0
((b((a|a)*))|ε),80,80,2,1.0,1.0,1.0
((b((a|b)*))|ε),80,80,2,1.0,1.0,1.0
((b((b|a)*))|ε),80,80,2,1.0,1.0,1.0
((b((b|b)*))|ε),73,73,2,1.0,1.0,1.0
